859.44	774.75	853	1045.38	1531.06
859.25	774.88	852.94	1045.25	1531
859.31	774.88	853	1045.25	1531.06
859.56	774.88	853	1045.56	1531.25
859.56	774.88	853	1045.44	1531.19
859.63	774.81	852.88	1045.5	1531.13
859.63	774.88	853	1045.38	1531.19
859.63	774.88	853	1045.5	1531.19
859.63	774.94	853.06	1045.56	1531.13
859.44	774.75	853	1045.56	1531.31
859.81	774.81	853.06	1045.31	1531
859.94	774.75	852.94	1045.38	1531
860.13	774.81	852.88	1045.31	1530.88
860.31	774.75	852.94	1045.31	1530.88
860.44	774.75	853	1045.25	1530.75
860.5	774.81	853	1045.38	1531
860.5	774.88	853	1045.31	1530.94
860.44	774.69	853.06	1045.44	1531
860.5	774.69	853	1045.31	1531.13
860.63	774.69	853.19	1045.31	1531
860.56	774.81	853.06	1045.44	1530.94
860.75	774.75	852.88	1045.44	1531.13
860.63	774.75	852.94	1045.44	1531
860.63	774.69	853.06	1045.44	1530.81
860.69	774.75	853	1045.44	1530.88
860.69	774.75	853.13	1045.38	1531.13
860.56	774.88	852.94	1045.44	1531
860.31	774.81	852.94	1045.31	1530.88
860.44	774.88	853	1045.38	1530.94
860.31	774.75	852.88	1045.44	1531
860.31	774.88	852.88	1045.31	1530.94
860.31	774.94	852.94	1045.31	1531.19
860.44	774.88	852.88	1045.25	1531.19
860.25	775.06	852.94	1045.5	1530.88
860.38	775.06	852.81	1045.56	1531
860.56	775.06	852.94	1045.5	1531
860.63	775.19	852.88	1045.81	1530.88
860.81	775.25	852.88	1045.5	1530.94
860.94	775.19	853.06	1045.69	1530.75
861.19	775.19	853	1045.69	1530.81
861.13	775.13	853.06	1045.81	1530.63
861.19	775.38	853	1045.75	1530.69
861.25	775.25	853.13	1045.63	1530.38
861.31	775.19	853.13	1045.81	1530.5
861.38	775.31	853.13	1045.63	1530.63
861.44	775.19	853.13	1045.63	1530.75
861.44	775.13	853.25	1045.63	1530.75
861.5	775.06	853.06	1045.75	1530.69
861.63	775.19	853.19	1045.75	1530.88
861.25	775.19	852.94	1045.69	1530.5
860.88	775.31	852.88	1045.69	1530.69
861	775.38	852.88	1045.88	1530.44
861	775.31	852.88	1045.56	1530.63
861.13	775.38	852.75	1045.63	1530.56
860.81	775.81	852.56	1045.81	1531.19
858.88	776.31	851.31	1046.38	1532.88
850.44	776.19	850.88	1046.44	1534.44
840.5	774.75	853.31	1045.88	1535.81
832.31	775.94	855.19	1044.38	1538.56
847.56	777.63	856.44	1042.69	1539.94
853.5	779.56	855.94	1041.44	1541.13
851.13	781.75	854.63	1040.88	1541.63
848.13	783.13	853.88	1040.5	1542.63
847.38	783	853.25	1041.19	1544.06
850.69	781.31	852.44	1041.75	1545.06
853.44	780.63	851.94	1041.69	1545.75
854.63	780.31	851.63	1041.88	1546.06
857.56	780.81	851.31	1042	1546.31
857.88	781.56	851.31	1041.81	1546.31
858.31	782.19	851.31	1041.63	1546.44
